브랜드,제품 이름,차 종류,"맛,향(필터링)",효능(필터링),카페인 여부,1개당 가격,url,재고
알디프,밤의 차,블렌딩 티,"달콤, 구수","기분전환, 안정 및 숙면",X ,1600,https://altdif.com/product/detail.html?product_no=220&cate_no=134&display_group=1,0
알디프,낮의 차,블렌딩 티,"과일, 꽃, 달콤",기분전환,X,1600,https://altdif.com/product/detail.html?product_no=219&cate_no=134&display_group=1,2
알디프,올드블랙매직,블렌딩 티,달콤,기분전환,O,1600,https://altdif.com/product/detail.html?product_no=198&cate_no=134&display_group=1,19
알디프,비포 선셋,블렌딩 티,달콤,"기분전환, 건강",X,1600,https://altdif.com/product/detail.html?product_no=199&cate_no=134&display_group=1,7
알디프,무드포러브,블렌딩 티,과일,기분전환,O,1600,https://altdif.com/product/detail.html?product_no=202&cate_no=134&display_group=1,14
알디프,나랑 갈래,블렌딩 티,"과일, 꽃",기분전환,X,1600,https://altdif.com/product/detail.html?product_no=201&cate_no=134&display_group=1,8
알디프,벨벳 골드 라운드,블렌딩 티,달콤,"기분전환, 안정 및 숙면",O,1600,https://altdif.com/product/detail.html?product_no=207&cate_no=134&display_group=1,17
알디프,밀키 애프터이미지,블렌딩 티,달콤,추운날,O,1600,https://altdif.com/product/detail.html?product_no=203&cate_no=134&display_group=1,23
티퍼런스,코코 퍼플티,"블렌딩 티, 홍차","과일, 달콤",안정 및 숙면,O,1800,https://www.teafference.com/product/coco,27
티퍼런스,베리 퍼플티,"블렌딩 티, 홍차",과일,다이어트및피부관리,O,1800,https://www.teafference.com/product/berry,26
티퍼런스,에이비씨 퍼플티,"블렌딩 티, 홍차",상큼,안정 및 숙면,O,1800,https://www.teafference.com/product/abc,30
티퍼런스,오트 펌킨 퍼플티,"블렌딩 티, 홍차",구수,다이어트및피부관리,O,1800,https://www.teafference.com/product/oat-pumpkin,26
티퍼런스,민트 퍼플티,"블렌딩 티, 홍차",매운/민트,소화,O,1800,https://www.teafference.com/product/mint,29
꽃물,코지화이트,"블렌딩 티, 꽃차",매운/민트,기분전환,X,1300,https://smartstore.naver.com/ccotmul_flowertea/products/5443528044?NaPm=ct%3Dkvzjwkln%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D245789d06e752277552115d4f526cf17ff0c3874,22
꽃물,치얼업레드,"블렌딩 티, 꽃차",구수,추운날,X,1300,https://smartstore.naver.com/ccotmul_flowertea/products/5443567623?NaPm=ct%3Dkvzjvrgv%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dbb99fbee7b83b87aec0db53cc2206dbf6af5df90,27
꽃물,미스틱 퍼플,"블렌딩 티, 꽃차","허브, 과일, 달콤","기분전환, 다이어트및피부관리",X,1300,https://smartstore.naver.com/ccotmul_flowertea/products/5443543542?NaPm=ct%3Dkvzjw582%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dae08212f0cc58c22e361457fcd83a0fe0d3d50be,24
취다선,선옥죽,전통차,구수,건강,X,1875,https://smartstore.naver.com/chuidasunshop/products/5077268481?NaPm=ct%3Dkvzjxx4i%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D091083d45ee56b553b6dda731ded625b9f61b164,17
취다선,우빈,녹차,구수,소화,O,1875,https://smartstore.naver.com/chuidasunshop/products/5077238490?NaPm=ct%3Dkvzjxp1w%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D169de7852c7410d4e4f773b4adfd8279f719196d,22
취다선,홍련,홍차,꽃,건강,O,1875,https://smartstore.naver.com/chuidasunshop/products/5077206310?NaPm=ct%3Dkvzjxgbt%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D8e7b91a0888d4ab802c5a07f1bc49651b252e6e9,28
