218,"밤의 차","알디프","블렌딩 티","달콤, 구수","X","기분전환, 안정 및 숙면",\N,"https://altdif.com/product/detail.html?product_no=220&cate_no=134&display_group=1","1600","0","2021-11-14 21:16:36","2021-11-14 21:16:36"
219,"낮의 차","알디프","블렌딩 티","과일, 꽃, 달콤","X","기분전환",\N,"https://altdif.com/product/detail.html?product_no=219&cate_no=134&display_group=1","1600","0","2021-11-14 21:16:36","2021-11-14 21:16:36"
220,"올드블랙매직","알디프","블렌딩 티","달콤","O","기분전환",\N,"https://altdif.com/product/detail.html?product_no=198&cate_no=134&display_group=1","1600","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
221,"비포 선셋","알디프","블렌딩 티","달콤","X","기분전환, 건강",\N,"https://altdif.com/product/detail.html?product_no=199&cate_no=134&display_group=1","1600","19","2021-11-14 21:16:36","2021-11-14 21:16:36"
222,"무드포러브","알디프","블렌딩 티","과일","O","기분전환",\N,"https://altdif.com/product/detail.html?product_no=202&cate_no=134&display_group=1","1600","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
223,"나랑 갈래","알디프","블렌딩 티","과일, 꽃","X","기분전환",\N,"https://altdif.com/product/detail.html?product_no=201&cate_no=134&display_group=1","1600","23","2021-11-14 21:16:36","2021-11-14 21:16:36"
224,"벨벳 골드 라운드","알디프","블렌딩 티","달콤","O","기분전환, 안정 및 숙면",\N,"https://altdif.com/product/detail.html?product_no=207&cate_no=134&display_group=1","1600","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
225,"밀키 애프터이미지","알디프","블렌딩 티","달콤","O","추운날",\N,"https://altdif.com/product/detail.html?product_no=203&cate_no=134&display_group=1","1600","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
226,"코코 퍼플티","티퍼런스","블렌딩 티, 홍차","과일, 달콤","O","안정 및 숙면",\N,"https://www.teafference.com/product/coco","1800","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
227,"베리 퍼플티","티퍼런스","블렌딩 티, 홍차","과일","O","다이어트및피부관리",\N,"https://www.teafference.com/product/berry","1800","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
228,"에이비씨 퍼플티","티퍼런스","블렌딩 티, 홍차","상큼","O","안정 및 숙면",\N,"https://www.teafference.com/product/abc","1800","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
229,"오트 펌킨 퍼플티","티퍼런스","블렌딩 티, 홍차","구수","O","다이어트및피부관리",\N,"https://www.teafference.com/product/oat-pumpkin","1800","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
230,"민트 퍼플티","티퍼런스","블렌딩 티, 홍차","매운/민트","O","소화",\N,"https://www.teafference.com/product/mint","1800","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
231,"코지화이트","꽃물","블렌딩 티, 꽃차","매운/민트","X","기분전환",\N,"https://smartstore.naver.com/ccotmul_flowertea/products/5443528044?NaPm=ct%3Dkvzjwkln%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D245789d06e752277552115d4f526cf17ff0c3874","1300","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
232,"치얼업레드","꽃물","블렌딩 티, 꽃차","구수","X","추운날",\N,"https://smartstore.naver.com/ccotmul_flowertea/products/5443567623?NaPm=ct%3Dkvzjvrgv%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dbb99fbee7b83b87aec0db53cc2206dbf6af5df90","1300","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
233,"미스틱 퍼플","꽃물","블렌딩 티, 꽃차","허브, 과일, 달콤","X","기분전환, 다이어트및피부관리",\N,"https://smartstore.naver.com/ccotmul_flowertea/products/5443543542?NaPm=ct%3Dkvzjw582%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dae08212f0cc58c22e361457fcd83a0fe0d3d50be","1300","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
234,"선옥죽","취다선","전통차","구수","X","건강",\N,"https://smartstore.naver.com/chuidasunshop/products/5077268481?NaPm=ct%3Dkvzjxx4i%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D091083d45ee56b553b6dda731ded625b9f61b164","1875","17","2021-11-14 21:16:36","2021-11-14 21:16:36"
235,"우빈","취다선","녹차","구수","O","소화",\N,"https://smartstore.naver.com/chuidasunshop/products/5077238490?NaPm=ct%3Dkvzjxp1w%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D169de7852c7410d4e4f773b4adfd8279f719196d","1875","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
236,"홍련","취다선","홍차","꽃","O","건강",\N,"https://smartstore.naver.com/chuidasunshop/products/5077206310?NaPm=ct%3Dkvzjxgbt%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D8e7b91a0888d4ab802c5a07f1bc49651b252e6e9","1875","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
237,"해열 쿨쿨 유자티","티즌","블렌딩 티","시트러스","x","추운날",\N,"https://smartstore.naver.com/teason/products/5881649075?NaPm=ct%3Dkvzk19iz%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D5cfee5fc9ba68117a8a28b2bed1cb5d5cadbd853","1990","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
238,"허그미 애플티","티즌","블렌딩 티","달콤, 구수","X","건강, 소화, 추운날",\N,"https://smartstore.naver.com/teason/products/5050499558?NaPm=ct%3Dkvzk0zfn%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D597d8e3247c756955e34ae72c7ba93ad3c574ba2","1990","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
239,"콤부차(자몽맛)","작심랩","모험","시트러스, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
240,"콤부차(레몬맛)","작심랩","모험","시트러스","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
241,"콤부차(블루베리맛)","작심랩","모험","달콤, 시트러스, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
242,"콤부차(복숭아맛)","작심랩","모험","시트러스, 달콤, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
243,"콤부차(매실맛)","작심랩","모험","시트러스","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
244,"푸른밤의정원","투티거스 호랑이 다과점","블렌딩 티","시트러스,허브","O","추운날",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1900","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
245,"딸기정원","투티거스 호랑이 다과점","홍차, 과일차","과일,달콤","O","추운날",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1800","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
246,"레몬녹차","투티거스 호랑이 다과점","녹차","시트러스, 구수","O","소화, 다이어트및피부관리",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1700","31","2021-11-14 21:16:36","2021-11-14 21:16:36"
